Prescribers,Novo
0-19 PUBLIC HEALTH SERVICE HARTLEPOOL,Sim
7 DAY ACCESS LITTLEBOROUGH HUB,Sim
7 DAY ACCESS PHOENIX HUB,Sim
A&E GPS,Sim
ABOUT HEALTH LN DERMATOLOGY,Sim
ACTIVE RECOVERY (CICS),Sim
ACUTE ADULT MENTAL HEALTH (WEST),Sim
ACUTE AND URGENT CARE,Sim
ACUTE GP REFERRAL SERVICE,Sim
ACUTE MEDICAL UNIT (RBH),Sim
ACUTE MEDICINE DIR.,Sim
ACUTE MENTAL HEALTH,Sim
ADEL BECK SCH,Sim
ADULT ADHD CHESHIRE PRIORY SERVICE,Sim
ADULT ADHD HALTON,Sim
ADULT ADHD KNOWSLEY NMP,Sim
ADULT LEARNING DISABILITY SERVICE,Sim
AIREBOROUGH COMMUNITY CARE,Sim
ALDINE HOUSE SCH,Sim
AMBER VALLEY HEALTH,Sim
ANGLIA COMMUNITY EYE SERVICE,Sim
ANTICOAGULATION - INTRAHEALTH,Sim
ANTICOAGULATION SERVICE - GR PHARMACY,Sim
AQP ANTICOAG SANDWELL HOSPITAL,Sim
ARDEN MH ACUTE TEAM,Sim
ASHFORD ANTICOAGULATION SERVICE,Sim
ASHFORD GROUP,Sim
ASPIRO HEALTHCARE,Sim
ASR MENTAL HEALTH SERVICE,Sim
ATKINSON SCH,Sim
B&I PCN HUB,Sim
BARKANTINE WALK-IN CTR,Sim
BARNSLEY HOSPICE,Sim
BAY MEDICAL GROUP EXTENDED OOH,Sim
BECKENHAM PCN EXTENDED SERVICE,Sim
BEGGARWOOD SURGERY - NHUC,Sim
BELLINGHAM GREEN SURGERY,Sim
BERKSHIRE OPHTHALMOLOGY SERVICE,Sim
BHFT (WAM),Sim
BI-BOROUGH ALCOHOL SERVICE,Sim
BINGLEY DERMATOLOGY CLINIC,Sim
BISHOPS CASTLE MEDICAL PRACTICE,Sim
BISHOPS CASTLE SURGERY,Sim
BMI BEARDWOOD HOSPITAL,Sim
BMI BEAUMONT HOSPITAL,Sim
BMI FAWKHAM MANOR HOSPITAL,Sim
BMI-SHIRLEY OAKS HOSPITAL,Sim
BMI-THE BLACKHEALTH HOSPITAL,Sim
BMI-THE SLOANE HOSPITAL,Sim
BOGNOR HOSPITAL MINOR INJURIES UNIT,Sim
BRACE STREET HC- MAHBUB (M91659),Sim
BRENT RAPID RESPONSE - CLCH,Sim
BRIGHTON STATION WALK-IN,Sim
BRITANNIA SUITE,Sim
BROMLEY CONNECT EXTENDED SERVICE,Sim
BROMLEY DIABETES SERVICE (BECKENHAM),Sim
BROMLEY DIABETES SERVICE (ORPINGTON),Sim
BROOKLANDS,Sim
BROUGHTON CORNER FAMILY PRACTICE,Sim
BTH NHS FOUNDATION TRUST,Sim
BURNLEY LOCALITY NMPS,Sim
CADU- GP HEALTH PARTNERS LTD,Sim
CAMHS - R&B,Sim
CAMHS - WORCESTER,Sim
CANTERBURY-COASTAL GROUP,Sim
CARDIOLOGY SERVICE,Sim
CARE HOME LIAISON TEAM,Sim
CATARACT SERVICE AT EVMC,Sim
CCS - PETERBOROUGH ICASH SERVICE,Sim
CCS HEALTH VISITORS (SOUTH),Sim
CCS-CONTRACEPTION & SEXUAL HLTH SERVICE,Sim
"CHCP - HESSLE, BROUGH, COTT, ANLABY",Sim
CHCP - POCK & GOOLE LOC TEAM,Sim
CHICHESTER MIAMI GP ACCESS HUB,Sim
CHILD DEVELOPMENT TEAM HOUNSLOW,Sim
CHILDREN'S HOSPICE SOUTH WEST,Sim
CHOICE PLUS,Sim
CHP LTD - FIELD VIEW,Sim
CHS URGENT CARE CENTRE,Sim
CIRCLE INTEGRATED CARE,Sim
CITY-EARLY INTERVENTION IN PSYCHOSIS,Sim
CLARE LODGE SECURE CHILDREN'S HOME,Sim
CLCH DIABETES - MERTON,Sim
CLEVEDON MINOR INJURY UNIT,Sim
CLIFTON PARK HOSPITAL,Sim
COASTAL AND RURAL HEALTH PARTNERSHIP,Sim
COMM ADULT MENTAL HEALTH (OPEN DOOR),Sim
COMM DIABETES CLINIC,Sim
COMM GYNAECOLOGY CLINIC2,Sim
COMMUNITY COPD SERVICES,Sim
COMMUNITY CVD SERVICE,Sim
COMMUNITY MAS BICS,Sim
COMMUNITY NURSES (IPCT) B&H CENTRAL,Sim
COMMUNITY NURSES (IPCT) B&H EAST,Sim
COMMUNITY NURSING (HARROGATE),Sim
COMMUNITY OPHTHALMOLOGY TEAM,Sim
COMMUNITY PAEDIATRIC NURSING,Sim
COMMUNITY PAEDS,Sim
COMMUNITY PALLIATIVE CARE MEDICAL TEAM,Sim
COMMUNITY PALLIATIVE CARE TEAM,Sim
COMMUNITY PRESCRIBERS,Sim
COMMUNITY RESPIRATORY SERVICE,Sim
COMMUNITY RESPIRATORY TEAM,Sim
COMMUNITY UROLOGY CLINIC,Sim
CONIFER HOUSE SEXUAL HEALTH CLINIC,Sim
CONNECT HEALTH WOLVERHAMPTON MSK,Sim
CONSULTANT - ST BENEDICT,Sim
CONTINENCE SERVICE CGH,Sim
COOK BF,Sim
COVENTRY NAVIGATION 1 PCN EXTENDED HOURS,Sim
COVID-19 URGENT EYECARE SERVICE CHELT 2,Sim
CPFT SPECIALIST SERVICE ELY AND FENS,Sim
CPFT SPECIALIST SERVICE HUNTS,Sim
CPT CRAWLEY,Sim
CRANKHALL LANE MEDICAL CENTRE,Sim
CRAVEN CENTRE - CRAVEN CMHT,Sim
CRHTT EAST,Sim
CRHTT WEST,Sim
CSP AT SPA,Sim
CSS GYNAECOLOGY SERVICE,Sim
CWP (WEST) PHYSICAL HEALTH,Sim
CYPS - ACORN HOUSE,Sim
DAART,Sim
DEAL DERMATOLOGY CLINIC,Sim
DERMATOLOGY CLINIC,Sim
DERMATOLOGY GPSI DEVONPORT HC,Sim
DGSS INPATIENT SERVICES - SITTINGBOURNE,Sim
DIABETES CARE FOR YOU HWLH,Sim
DIABETES CLINIC,Sim
DIABETES COMMUNITY SERVICE,Sim
DIABETES SPECIALIST NURSE SERVICE,Sim
DISTRICT EARLY INTERVENTION IN PSYCHOSIS,Sim
DISTRICT NURSES,Sim
DMC COMMUNITY DERM BRENT,Sim
DMC COMMUNITY DERM HARROW,Sim
DMC COMMUNITY DERMATOLOGY ERY,Sim
DMC COMMUNITY DERMATOLOGY LECCG,Sim
DONC SOUTH ADULT CMHT,Sim
DONCASTER CHILDRENS 0-19YRS COMM.SERV,Sim
DR KERSHAWS HOSPICE,Sim
DR LOOMBA AND PARTNERS,Sim
DR RB KUMAR PRACTICE,Sim
DUCHESS OF KENT HOUSE,Sim
DUDLEY COMMUNITY PALLIATIVE MEDICINE,Sim
DUDLEY COMMUNITY PODIATRIC SURGERY,Sim
DURHAM DALES VAWAS,Sim
DVT CLINIC (ER PATIENTS),Sim
EALING CONTRACEPTIVE & SEXUAL HEALTH,Sim
EARLY INTERVENTION NORTH SERVICE,Sim
EAST ALLIANCE NMPS (ALLINGTON CLINIC),Sim
EAST ALLIANCE NMPS (STOW LODGE CENTRE),Sim
EAST BEDFORD PCN,Sim
EAST LINDSEY GP EXTENDED ACCESS HUB,Sim
ECARE MEDICAL EYE (CASUALTY) CLINIC,Sim
ECH OPD,Sim
EIDS,Sim
ELFT CHSB MATRONS,Sim
ELFT CHSB NEUROLOGY NURSING,Sim
ELFT CHSB TISSUE NURSES,Sim
ELTON REHABILITATION UNIT,Sim
ENFIELD COMMUNITY GYNAECOLOGY SERVICE,Sim
ENHANCED HEALTH CARE HOMES,Sim
ENT CLINIC,Sim
ENT DEPARTMENT CANNOCK,Sim
ENT GPWSI CUMBERLAND CENTRE,Sim
ENT SERVICE,Sim
ENT SPINKS LANE,Sim
EPILEPSY NURSE CANNOCK,Sim
EUXTON HALL HOSPITAL,Sim
EVESHAM CMHT,Sim
EVOLUTIO COMMUNITY OPTHALMOLOGY SERVICE,Sim
EXTENDED ACCESS PCD SAME DAY HC,Sim
EXTENDED ACCESS PCD THORNE MOOR PRACTICE,Sim
FAILSWORTH GROUP PRACTICE,Sim
FAIRHAVENS HOSPICE,Sim
FAREHAM PCAS,Sim
FARNHAM DIAGNOSTIC AND TREATMENT CENTRE,Sim
FITZWILLIAM HOSPITAL,Sim
FORGET ME NOT CHILDREN'S HOSPICE,Sim
FRAILTY TEAM,Sim
FURNESS TIER2 COMMUNITY SERVICE,Sim
GASTROENTEROLOGY DEPARTMENT CANNOCK,Sim
GENERAL MEDICINE-MERTON CCG,Sim
GENERAL SURGERY-MERTON CCG,Sim
GP APH OOH,Sim
GP CARE DVT SERVICE,Sim
GP CARE UK LTD BNSSG COMMUNITY UROLOGY,Sim
GP CARE UK LTD SWINDON COMMUNITY UROLOGY,Sim
GP CONNECT EXTENDED HOURS SERVICE,Sim
GP OUT OF HOURS RCCG (EAST BERKS),Sim
GPSI CYSTOSCOPY - IDLE,Sim
GPSI PALLIATIVE CARE,Sim
GPSI-DERMATOLOGY CLINIC,Sim
GPWSI DERMATOLOGY CLINIC,Sim
GPWSI SEXUAL HEALTH SCREENING SERVICE,Sim
GREENWICH COMMUNITY HOSPICE,Sim
GYNAECOLOGY SERVICES,Sim
GYW SPECIALIST PALLIATIVE CARE SERVICE,Sim
HALTON PRIMARY CARE DERMATOLOGY SERVICE,Sim
HARROW HEALTH CIC GASTROENTEROLOGY GPWSI,Sim
HASTINGS AND ROTHER OOH,Sim
HASTINGS HOMELESS SERVICE,Sim
HATTERS HEALTH PCN,Sim
HEADACHE & MIGRAINE CLINIC,Sim
HEALTH VISITORS STOKE,Sim
HEALTHHARMONIE,Sim
HEART FAILURE CNS 1,Sim
HELIOS MEDICAL CENTRE,Sim
HEREFORDSHIRE MH CAMHS,Sim
HEREFORDSHIRE MH COMMUNITY WAA,Sim
HEREFORDSHIRE MH GENERAL,Sim
HEREFORDSHIRE OOH SERVICES,Sim
HERNE BAY URGENT TREATMENT CENTRE,Sim
HERTS HEALTH LTD,Sim
HMP ASHFIELD,Sim
HMP BIRMINGHAM,Sim
HMP BULLINGDON,Sim
HMP BURE,Sim
HMP CHANNINGS WOOD,Sim
HMP DONCASTER (C),Sim
HMP DURHAM,Sim
HMP EASTWOOD PARK,Sim
HMP FORD PRISON,Sim
HMP FOREST BANK,Sim
HMP FOSTON HALL,Sim
HMP LITTLEHEY,Sim
HMP NOTTINGHAM,Sim
HMP OAKWOOD,Sim
HMP THE VERNE,Sim
HMP WEALSTUN,Sim
HMP WINCHESTER,Sim
HMP/YOI DRAKE HALL,Sim
HMP/YOI WETHERBY,Sim
HODDESDON & BROXBOURNE PCN HUB,Sim
HOME FIRST,Sim
HOME FIRST FRAILTY,Sim
HOMERTON NMP'S,Sim
HOOK & HARTLEY WINTNEY MEDICAL PTRSHIP,Sim
HV RICHMONDSHIRE,Sim
IC24 LTD (HWLH OOH),Sim
ICDS,Sim
IHG CLINICS,Sim
ILKESTON HEALTH CENTRE,Sim
IMPROVED ACCESS BERKLEY VALE,Sim
INDIGO GENDER SERVICE,Sim
INTEGRATED COMMUNITY CARE,Sim
INTEGRATED COMMUNITY RESPONSE SERVICE,Sim
INTRAHEALTH BURY AMS,Sim
IPU 10-17 EARLY INTERVENTION SW,Sim
IPU18-21 SOUTH WARKS-STRATFORD,Sim
ISABEL HOSPICE,Sim
IV THERAPY TEAM,Sim
JOHN EASTWOOD HOSPICE,Sim
JULIAN HOUSE HEALTHCARE SERVICE,Sim
KATHARINE HOUSE HOSPICE,Sim
KCCG-CHC MT EDGECUMBE,Sim
KIRKWOOD HOSPICE,Sim
KNOWSLEY COMMUNITY PALLIATIVE CARE TEAM,Sim
KNOWSLEY LLAMS MEMORY SERVICE,Sim
KNOWSLEY RECOVERY TEAM,Sim
LCH POLICE CUSTODY SUITES SERVICES,Sim
LCW EALING CCG OOH,Sim
LEARNING DISABILITY SOUTH-CERU,Sim
LICHFIELD AND BURNTWOOD NETWORK,Sim
LINCS COMMUNITY EMERG MED SERVICE,Sim
LINDSEY LODGE HOSPICE,Sim
LIVI SERVICE MANCHESTER CCG,Sim
LLR DIGITAL CONSULTATION SERVICE,Sim
LMH - INTENSIVE HOME TREATMENT TEAM,Sim
LOCAL PRIMARY CARE EAST/WEST SPOKE,Sim
LOCALA BRADFORD SEXUAL HEALTH SERVICE,Sim
LOCALA KIRKLEES SEXUAL HEALTH SERVICE,Sim
LOCALITY PRESCRIBING SERVICE,Sim
LONDON SHA PHP,Sim
LONGLANDS CHILD DEVELOPMENT CENTRE,Sim
LOROS,Sim
LUNG CANCER SERVICE,Sim
LUTON COMMUNITY MUSCULOSKELETAL SERVICE,Sim
LYNFIELD MOUNT HOSPITAL - FIRST RESPONSE,Sim
M&A AHVS (PICS),Sim
MABLETHORPE SEXUAL HEALTH,Sim
MALVERN INPATIENTS,Sim
MARIE CURIE EOL DOMICILIARY SERVICE,Sim
MARLOWES CENTRE,Sim
MARMOT PCN HUB,Sim
MARTIN HOUSE HOSPICE,Sim
MARY STEVENS DAY HOSPICE,Sim
MCH PALLIATIVE CARE SWALE,Sim
MEDICS PCN,Sim
MEDLOOP,Sim
MENTAL HEALTH ICT,Sim
MERIDIAN HEALTH GROUP,Sim
MERIDIAN HOUSE - AIREWHARFE CMHT,Sim
MINOR SURGERY LES,Sim
MINOR SURGERY SERVICE LIVERPOOL,Sim
MITCHLEY AVENUE SURGERY,Sim
MORETON CROSS GROUP PRACTICE,Sim
MORETON GROUP PRACTICE,Sim
MOUNT STUART HOSPITAL NHS OUTPATIENTS,Sim
MSK COMMUNITY SERVICES,Sim
NDUC SOUTH TEES OOH,Sim
NEAS SOUTH TEES CCG,Sim
NEAS SUNDERLAND CCG,Sim
NELFT COMMUNITY DIABETES SERVICE,Sim
NELFT EWMHS,Sim
NELFT OOH,Sim
NEURODEVELOPMENT SERVICE HAMPSHIRE,Sim
NEUROLOGY LONG TERM CONDITIONS,Sim
NEWARK ROAD SURGERY,Sim
NEWMEDICA BRISTOL,Sim
NEWMEDICA GLOUCESTERSHIRE (BRIGHOUSE),Sim
NEWMEDICA TEESSIDE,Sim
NHS KERNOW LIVI - TPP,Sim
NHS PRACTITIONER HEALTH PROGRAMME,Sim
NIMBUS CARE LTD,Sim
NIMBUSCARE,Sim
NMP CPFT - ELY & FENS UNIT,Sim
NMP SOUTHERN HEALTH (NORTH HANTS),Sim
NORTH & WEST BRISTOL LOCALITY,Sim
NORTH EAST ESSEX MECS,Sim
NORTH NORFOLK COVID RESPONSE,Sim
NORTH SOMERSET COMM PAEDIATRIC SERVICE,Sim
NORTHUMBERLAND 0-19 HCP,Sim
NORTHUMBERLAND SEXUAL HEALTH SERVICE,Sim
NOTTINGHAM HOMELESS TEAM,Sim
NS EXTENDED ACCESS SERVICE TPP CLIENT,Sim
NT&H COMM DIAB N,Sim
NT&H COMM DIAB N DDES,Sim
NT&H COMM MIDWIVES,Sim
NURSING HOME PROJECT TEAM (SOUTH),Sim
NWR COMMUNITY SERVICES,Sim
OAKHAVEN HOSPICE TRUST,Sim
OAKLANDS HOSPITAL,Sim
OHP ROH EXTENDED ACCESS HUB,Sim
OLD AGE PSYCH - WARK,Sim
OLD AGE PSYCHIATRY - COVENTRY,Sim
OLDER PEOPLE'S MENTAL HEALTH LIAISON,Sim
OLDHAM PENNINE LUNG SERVICE,Sim
OPEROSE HEALTH OPHTHALMOLOGY HOUNSLOW,Sim
OPH WORCESTERSHIRE COMMUNITY SERVICE,Sim
OPHTHALMOLOGY CLINIC,Sim
OPHTHALMOLOGY-APCOS-NOK,Sim
OPHTHALMOLOGY-COT-JG,Sim
OPTHALMOLOGY OUTPATIENT DEPARTMENT,Sim
"OUTPATIENTS DEPARTMENT, MGH",Sim
OUTPATIENTS JUBILEE HEALTH CENTRE,Sim
PAEDIATRIC AUDIOVESTIBULAR MEDICINE,Sim
PALLIATIVE CARE NORTH,Sim
PALLION PRIMARY CARE SERVICES,Sim
PALMS HERTFORDSHIRE COMMUNITY TRUST,Sim
PATIENT FIRST SOCIAL ENTERPRISE,Sim
PAULTON HOSPITAL WARDS,Sim
PC EXT ACCESS CHILTERN VALE HEALTH,Sim
PCD EMIS ENHANCED ACCESS,Sim
PCD TPP ENHANCED ACCESS,Sim
PCOC DERMATOLOGY SERVICE,Sim
PCT DIABETES CLINIC,Sim
PDS WOUND CARE KIRKHAM,Sim
PENNINE MSK PARTNERSHIP LTD,Sim
PES @ STOTTS OPTICIANS URMSTON TRAF CCG,Sim
PES AT BBR OPTOMETRY H&W CCG,Sim
PES AT BLIINX EYECARE STUDIOS,Sim
PES AT JANE SMELLIE CHESTER,Sim
PES AT SPECSAVERS HEREFORD H&W CCG,Sim
PHOENIX HEALTH PCN,Sim
PLANNED CARE,Sim
POPLAR WARD,Sim
"POTTERS BAR HOSPITAL,OAKMERE WARD",Sim
PRACTICE PLUS GRP HOSP SHEPTON MALLET,Sim
PRACTICE TWO,Sim
PRIMARY CARE MENTAL HEALTH SERVICE,Sim
PRIMARY EYECARE SERVICES,Sim
PRINCESS ALICE HOSPICE,Sim
PRINCIPIA COPD,Sim
PROSPECT HOSPICE,Sim
PSICON,Sim
PSICON NEURODEVELOPMENTAL LIFESPAN,Sim
PSYCHIATRY UK - CHORLEY SOUTH RIBBLE,Sim
PSYCHIATRY UK - LANCASHIRE,Sim
PWSI IN OPHTHALMOLOGY SERVICE,Sim
RAMSEY HEALTH CARE UK,Sim
RB PALL,Sim
RDASH CARDIAC NURSE SPECIALIST SERVICES,Sim
REGIS CENTRAL COMMUNITY TEAM,Sim
REPRODUCTIVE AND SEXUAL HEALTH SERVICES,Sim
RESPIRATORY SERVICE STOKE AND NORTH,Sim
RESPONSIVE SERVICES MID SUSSEX & HORSHAM,Sim
RHEUMATOLOGY DEPARTMENT,Sim
RHEUMATOLOGY-MERTON CCG,Sim
RIPON MINOR INJURY UNIT,Sim
RIPON OOH,Sim
RISE CRISIS ALT HT TEAM,Sim
RISE RUGBY,Sim
RISE-STRATFORD (CAMHS),Sim
ROMSEY HUB EUPCS OOH,Sim
ROTHERHAM CHILDREN ACUTE COMPLEX NEEDS,Sim
ROWLEY HALL HOSPITAL,Sim
RUNCORN URGENT CARE CENTRE WIC,Sim
SAFECARE NETWORK,Sim
SAME DAY HEALTH CNTRE COASTAL HEALTHCARE,Sim
SCC HEALTH VISITING,Sim
SCHOOL NURSING SERVICE,Sim
SCT CRAWLEY,Sim
SEXUAL HEALTH WIRRAL,Sim
SHERWOOD LOCALITY EXTENDED ACCESS,Sim
SHREWSBURY AND TELFORD NEUROLOGY,Sim
SJUH GPS IN A+E,Sim
SKC ANTICOAGULATION SERVICE,Sim
SLEAFORD URGENT CARE UNIT,Sim
SMITHDOWN CHILDRENS NHS WALK IN CENTRE,Sim
SOHO WALK IN CENTRE (WIC),Sim
SOLENT WEST NMPS,Sim
SOMERSET 999 GP CAR,Sim
SOTON COMMUNITY ENT ADELAIDE,Sim
SOTON COMMUNITY ENT SERVICE WESTON LANE,Sim
SOUTH BRISTOL COMMUNITY HOSPITAL,Sim
SOUTH CENTRAL AMBULANCE SERVICE - CCAS,Sim
SOUTH GLOS LOCALITY,Sim
SOUTH KENT GROUP,Sim
SOUTH NORTHANTS EXTENDED ACCESS,Sim
SOUTH YORK HEART FAILURE NURSES,Sim
SOUTHGATE ROAD MEDICAL CENTRE,Sim
SPALDING OOH,Sim
SPECIALIST CHILDRENS SERVICE,Sim
SPECIALIST PALLIATIVE CARE SERVICES,Sim
SPECIALIST PALLIATIVE CARE TEAM,Sim
SPUR ROAD SURGERY,Sim
SRC COMMUNITY SERVICES,Sim
ST ANDREWS EXTENDED ACCESS HUB,Sim
ST ANN'S HOSPICE/PAL CARE,Sim
ST CHADS MEDICAL PRACTICE,Sim
ST CLARE HOSPICE,Sim
ST HELENS & KNOWSLEY EIT,Sim
ST HELENS & KNOWSLEY LD,Sim
ST HELENS ASST & HTT,Sim
ST JOHN'S HOSPICE,Sim
ST JOHNS HOSPICE,Sim
ST MARGARET'S HOSPICE,Sim
ST NEOTS NON REGISTERED PATIENTS,Sim
ST PETER'S HOSPICE,Sim
ST RAPHAEL'S HOSP (SUTTON),Sim
ST ROCCO'S HOSPICE,Sim
STOKE COMMUNITY,Sim
STOMA APPLIANCE ORDERING SERVICE,Sim
SUE RYDER CNS TEAM,Sim
SUFFOLK COMMUNITY SERVICES (EAST),Sim
SUMMERHILL MEDICAL UNIT,Sim
SUNDERLAND 0-19 HCP,Sim
SUNDERLAND COMMUNITY PAEDIATRICS TEAM,Sim
SURGICAL AMBULATORY EMERGENCY CARE,Sim
SWINDON COMMUNITY OPHTHALMOLOGY SERVICE,Sim
SWL CCG SELDOC COVID CAS,Sim
TAME VALLEY MEDICAL CENTRE,Sim
TEENAGE DROP-IN CENTRE,Sim
TENBURY COMMUNITY HOSPITAL WARD,Sim
TENDRING MIU OOH,Sim
THANET ANTICOAG SERVICE - PIERREMONTS,Sim
THE CHILDRENS TRUST,Sim
THE CHURCH VIEW PRACTICE,Sim
THE HILL GENERAL PRACTICE & UCC,Sim
THE LANCASHIRE EU OF GPS LIMITED,Sim
THE LEGER CLINIC (BASSETLAW),Sim
THE MEDIC CARE SURGERY,Sim
THE OAKS - ENT,Sim
THE OAKS - UROLOGY,Sim
THE PRACTICE OPHTHALMOLOGY,Sim
THREE VALLEY HEALTHCARE,Sim
TIER 2 RHEUMATOLOGY SERVICE,Sim
TISSUE VIABILITY EAST,Sim
TISSUE VIABILITY NURSING SERVICE,Sim
TOGETHER DRUG & ALCOHOL SERVICE - SOUTH,Sim
TOGETHER4HEALTHCARE LIMITED (DKA),Sim
TORQUAY CARE HOME VISITING SERVICE,Sim
TOWER HAMLETS EPCT,Sim
TURNING POINT - H&CRS (CITY OF LONDON),Sim
TURNING POINT SMITHFIELD SERVICE,Sim
TVN MALTON,Sim
UNIV HOSP NORTH DURHAM OOH,Sim
URGENT CARE CENTRES PETERLEE AND SEAHAM,Sim
URGENT TREATMENT CENTRE PP,Sim
URGENT TREATMENT CENTRE QMH,Sim
UTTLESFORD HEALTH LIMITED GYNAECOLOGY,Sim
VIADUCT CARE PCN HUB,Sim
WALKDEN GATEWAY MEDICAL PRACTICE,Sim
WALSALL COMMUNITY GYNAECOLOGY SERVICE-HH,Sim
WALTON HERSHAM WARD,Sim
WANDSWORTH CCG SLDUC OOH,Sim
WCT OPHTHALMOLOGY SERVICE,Sim
WDP CAMDEN ROUGH SLEEPERS PROJECT,Sim
WE ARE WITH YOU REDCAR&CLEVELAND-REDCAR,Sim
WEARDALE COMMUNITY HOSPITAL,Sim
WEEKEND SUPPORT FOR VULNERABLE PEOPLE,Sim
WEST KENT GROUP,Sim
WEST MERTON PCN HUB,Sim
WEST VALLEY HOSPITAL,Sim
WESTMINSTER DIABETES CENTRE,Sim
WESTMINSTER SCHOOL,Sim
WF CMHT,Sim
WF OA CMHT,Sim
WF PALL CARE,Sim
WHHFT CN PRESC. DIABETES SERVICE HALTON,Sim
WHITFIELD PCN - EXTENDED ACCESS,Sim
WIGAN & LEIGH EIT,Sim
WOKING HOSPICE,Sim
WOKINGHAM COMMUNITY SERVICES,Sim
WOLLASTON AND BOZEAT SURGERIES,Sim
WOLVERHAMPTON SOUTH EAST COLLABORATIVE,Sim
WOODSPRING LOCALITY,Sim
WORCESTERSHIRE INTEGRATED SEXUAL HEALTH,Sim
WORKING AGE ADULTS - WEAVERS CROFT,Sim
WORKINGTON HEALTH LIMITED,Sim
WWL CN WEST LANCS,Sim
WYRE FOREST WARD,Sim
YORK ADULT COMMUNITY NURSING,Sim
YORKSHIRE HEALTH PARTNERS,Sim
